PRODUCT_NR;PRODUCT_NAME;NET_PRICE;PROD_CLASS_CODE;SOURCING_PROD_CAT_NR;SALE_PROD_CAT_NR;EXTRACT_DATE
P00296412;"Jonti-Craft 8004JC Cubbie-Tray, Yellow";4.99;PC10;67;67;"2022-11-27 00:00:00.000000"
P00296413;"Ceaco Crowd Pleasers Collection by Jan Van Haasteren Chaos On The Field Puzzle (1000 Piece)";15.54;PC7;92;92;"2022-11-08 00:00:00.000000"
P00296413;"Ceaco Crowd Pleasers Collection by Jan Van Haasteren Chaos On The Field Puzzle (1000 Piece)";15.54;PC7;92;92;"2022-11-12 00:00:00.000000"
P00296413;"Ceaco Crowd Pleasers Collection by Jan Van Haasteren Chaos On The Field Puzzle (1000 Piece)";15.54;PC7;92;92;"2022-11-13 00:00:00.000000"
P00296413;"Ceaco Crowd Pleasers Collection by Jan Van Haasteren Chaos On The Field Puzzle (1000 Piece)";15.54;PC7;92;92;"2022-11-18 00:00:00.000000"
P00296413;"Ceaco Crowd Pleasers Collection by Jan Van Haasteren Chaos On The Field Puzzle (1000 Piece)";15.54;PC7;92;92;"2022-11-23 00:00:00.000000"
P00296414;"Caterpillar CAT Construction Tough Machines Toy Bulldozer with Lights & Sounds";8.58;PC4;82;82;"2022-11-09 00:00:00.000000"
P00296414;"Caterpillar CAT Construction Tough Machines Toy Bulldozer with Lights & Sounds";8.58;PC4;82;82;"2022-11-14 00:00:00.000000"
P00296414;"Caterpillar CAT Construction Tough Machines Toy Bulldozer with Lights & Sounds";8.58;PC4;82;82;"2022-11-19 00:00:00.000000"
P00296414;"Caterpillar CAT Construction Tough Machines Toy Bulldozer with Lights & Sounds";8.58;PC4;82;82;"2022-11-20 00:00:00.000000"
P00296414;"Caterpillar CAT Construction Tough Machines Toy Bulldozer with Lights & Sounds";8.58;PC4;82;82;"2022-11-25 00:00:00.000000"
P00296415;"Advanced Primate Entertainment Rolling Freight";51.8;PC1;33;33;"2022-11-10 00:00:00.000000"
P00296415;"Advanced Primate Entertainment Rolling Freight";51.8;PC1;33;33;"2022-11-11 00:00:00.000000"
P00296415;"Advanced Primate Entertainment Rolling Freight";51.8;PC1;33;33;"2022-11-16 00:00:00.000000"
P00296415;"Advanced Primate Entertainment Rolling Freight";51.8;PC1;33;33;"2022-11-21 00:00:00.000000"
P00296415;"Advanced Primate Entertainment Rolling Freight";51.8;PC1;33;33;"2022-11-26 00:00:00.000000"
P00296415;"Advanced Primate Entertainment Rolling Freight";51.8;PC1;33;33;"2022-11-27 00:00:00.000000"
P00296416;"Little Tikes Fun Zone Tumblin' Tower Climber, Multicolored";89.99;PC8;105;105;"2022-11-08 00:00:00.000000"
P00296416;"Little Tikes Fun Zone Tumblin' Tower Climber, Multicolored";89.99;PC8;105;105;"2022-11-13 00:00:00.000000"
P00296416;"Little Tikes Fun Zone Tumblin' Tower Climber, Multicolored";89.99;PC8;105;105;"2022-11-18 00:00:00.000000"
P00296416;"Little Tikes Fun Zone Tumblin' Tower Climber, Multicolored";89.99;PC8;105;105;"2022-11-20 00:00:00.000000"
P00296416;"Little Tikes Fun Zone Tumblin' Tower Climber, Multicolored";89.99;PC8;105;105;"2022-11-27 00:00:00.000000"
P00296417;"Douglas Cuddle Toys Atka Wolf";19.95;PC6;109;109;"2022-11-13 00:00:00.000000"
P00296417;"Douglas Cuddle Toys Atka Wolf";19.95;PC6;109;109;"2022-11-16 00:00:00.000000"
P00296417;"Douglas Cuddle Toys Atka Wolf";19.95;PC6;109;109;"2022-11-19 00:00:00.000000"
P00296417;"Douglas Cuddle Toys Atka Wolf";19.95;PC6;109;109;"2022-11-22 00:00:00.000000"
P00296418;"RPM 73632 Wide Front Bumper for Associated B44, B44.1, B44.2, Black";9.53;PC3;94;94;"2022-11-13 00:00:00.000000"
P00296418;"RPM 73632 Wide Front Bumper for Associated B44, B44.1, B44.2, Black";9.53;PC3;94;94;"2022-11-10 00:00:00.000000"
P00296418;"RPM 73632 Wide Front Bumper for Associated B44, B44.1, B44.2, Black";9.53;PC3;94;94;"2022-11-20 00:00:00.000000"
P00296418;"RPM 73632 Wide Front Bumper for Associated B44, B44.1, B44.2, Black";9.53;PC3;94;94;"2022-11-23 00:00:00.000000"
P00296418;"RPM 73632 Wide Front Bumper for Associated B44, B44.1, B44.2, Black";9.53;PC3;94;94;"2022-11-26 00:00:00.000000"
P00296419;"Rainbow Accents 0294JCWW114 4 Station Art Center, Orange";266.38;PC10;3;3;"2022-11-11 00:00:00.000000"
P00296419;"Rainbow Accents 0294JCWW114 4 Station Art Center, Orange";266.38;PC10;3;3;"2022-11-16 00:00:00.000000"
P00296419;"Rainbow Accents 0294JCWW114 4 Station Art Center, Orange";266.38;PC10;3;3;"2022-11-21 00:00:00.000000"
P00296419;"Rainbow Accents 0294JCWW114 4 Station Art Center, Orange";266.38;PC10;3;3;"2022-11-22 00:00:00.000000"
P00296419;"Rainbow Accents 0294JCWW114 4 Station Art Center, Orange";266.38;PC10;3;3;"2022-11-27 00:00:00.000000"
P00296420;"Testors 307589 - 3 PK Spray Chalk, 6 Oz, Blue";41;PC7;3;3;"2022-11-12 00:00:00.000000"
P00296420;"Testors 307589 - 3 PK Spray Chalk, 6 Oz, Blue";41;PC7;3;3;"2022-11-13 00:00:00.000000"
P00296420;"Testors 307589 - 3 PK Spray Chalk, 6 Oz, Blue";41;PC7;3;3;"2022-11-18 00:00:00.000000"
P00296420;"Testors 307589 - 3 PK Spray Chalk, 6 Oz, Blue";41;PC7;3;3;"2022-11-23 00:00:00.000000"
P00296421;"Inky Antics Mounted Rubber Stamp 2.5""X3.75""-Fashionable Faye";9.6;PC4;3;3;"2022-11-09 00:00:00.000000"
P00296421;"Inky Antics Mounted Rubber Stamp 2.5""X3.75""-Fashionable Faye";9.6;PC4;3;3;"2022-11-14 00:00:00.000000"
P00296421;"Inky Antics Mounted Rubber Stamp 2.5""X3.75""-Fashionable Faye";9.6;PC4;3;3;"2022-11-19 00:00:00.000000"
P00296421;"Inky Antics Mounted Rubber Stamp 2.5""X3.75""-Fashionable Faye";9.6;PC4;3;3;"2022-11-20 00:00:00.000000"
P00296421;"Inky Antics Mounted Rubber Stamp 2.5""X3.75""-Fashionable Faye";9.6;PC4;3;3;"2022-11-25 00:00:00.000000"
P00296422;"Melissa & Doug 25 Wooden Shape and Color Magnets in a Box";10.99;PC1;;118;"2022-11-10 00:00:00.000000"
P00296422;"Melissa & Doug 25 Wooden Shape and Color Magnets in a Box";10.99;PC1;;118;"2022-11-11 00:00:00.000000"
P00296422;"Melissa & Doug 25 Wooden Shape and Color Magnets in a Box";10.99;PC1;;118;"2022-11-16 00:00:00.000000"
P00296422;"Melissa & Doug 25 Wooden Shape and Color Magnets in a Box";10.99;PC1;;118;"2022-11-21 00:00:00.000000"
P00296422;"Melissa & Doug 25 Wooden Shape and Color Magnets in a Box";10.99;PC1;;118;"2022-11-26 00:00:00.000000"
P00296422;"Melissa & Doug 25 Wooden Shape and Color Magnets in a Box";10.99;PC1;;118;"2022-11-27 00:00:00.000000"
P00296423;"Steve Spangler Science Halloween Decorating Kit – Halloween Science Kit with 10 Experiments Included, STEM Activities Ideal for Classroom and Home Use";49.99;PC8;67;67;"2022-11-13 00:00:00.000000"
P00296423;"Steve Spangler Science Halloween Decorating Kit – Halloween Science Kit with 10 Experiments Included, STEM Activities Ideal for Classroom and Home Use";49.99;PC8;67;67;"2022-11-18 00:00:00.000000"
P00296423;"Steve Spangler Science Halloween Decorating Kit – Halloween Science Kit with 10 Experiments Included, STEM Activities Ideal for Classroom and Home Use";49.99;PC8;67;67;"2022-11-20 00:00:00.000000"
P00296423;"Steve Spangler Science Halloween Decorating Kit – Halloween Science Kit with 10 Experiments Included, STEM Activities Ideal for Classroom and Home Use";49.99;PC8;67;67;"2022-11-27 00:00:00.000000"
P00296424;"Smith Safety Gear Leopard Elbow Pads";47.95;PC5;72;72;"2022-11-09 00:00:00.000000"
