SALE_DATE;CUSTOMER_NR;PRODUCT_NR;CASH_POINT_NR;QTY;AMOUNT;CASH_OR_PLASTIC;CASHIER_EMP_NR;DISPLAY_PROD_CAT_NR;EXTRACT_DATE
2019-06-15;121;P00000409;36;13;249.6;C;7;85;"2022-11-02 00:00:00.000000"
2019-06-15;121;P00000409;36;13;249.6;C;7;85;"2022-11-02 00:00:00.000000"
2019-06-16;83;P00000409;57;10;129;C;5;26;"2022-11-02 00:00:00.000000"
2019-06-16;83;P00000409;57;10;129;C;5;26;"2022-11-02 00:00:00.000000"
2019-06-17;45;P00000409;78;7;46.2;P;3;65;"2022-11-02 00:00:00.000000"
2019-06-17;45;P00000409;78;7;46.2;P;3;65;"2022-11-02 00:00:00.000000"
2019-06-18;7;P00000409;1;4;1.2;C;1;86;"2022-11-02 00:00:00.000000"
2019-06-18;7;P00000409;1;4;1.2;C;1;86;"2022-11-02 00:00:00.000000"
2019-06-19;464;P00000409;22;1;17;C;48;47;"2022-11-02 00:00:00.000000"
2019-06-19;464;P00000409;22;1;17;C;48;47;"2022-11-02 00:00:00.000000"
2019-06-20;426;P00000409;43;13;139.1;P;46;79;"2022-11-02 00:00:00.000000"
2019-06-20;426;P00000409;43;13;139.1;P;46;79;"2022-11-02 00:00:00.000000"
2019-06-21;388;P00000409;64;10;44;C;44;42;"2022-11-02 00:00:00.000000"
2019-06-21;388;P00000409;64;10;44;C;44;42;"2022-11-02 00:00:00.000000"
2019-06-22;350;P00000409;85;7;147.7;C;42;112;"2022-11-02 00:00:00.000000"
2019-06-22;350;P00000409;85;7;147.7;C;42;112;"2022-11-02 00:00:00.000000"
2019-06-23;312;P00000409;8;4;59.2;P;40;27;"2022-11-02 00:00:00.000000"
2019-06-23;312;P00000409;8;4;59.2;P;40;27;"2022-11-02 00:00:00.000000"
2019-06-24;274;P00000409;29;1;8.5;C;38;113;"2022-11-02 00:00:00.000000"
2019-06-24;274;P00000409;29;1;8.5;C;38;113;"2022-11-02 00:00:00.000000"
2019-06-25;236;P00000409;50;13;28.6;C;36;13;"2022-11-02 00:00:00.000000"
2019-06-25;236;P00000409;50;13;28.6;C;36;13;"2022-11-02 00:00:00.000000"
2019-06-26;198;P00000409;71;10;189;P;34;36;"2022-11-02 00:00:00.000000"
2019-06-26;198;P00000409;71;10;189;P;34;36;"2022-11-02 00:00:00.000000"
2019-06-27;160;P00000409;92;7;88.2;C;32;31;"2022-11-02 00:00:00.000000"
2019-06-27;160;P00000409;92;7;88.2;C;32;31;"2022-11-02 00:00:00.000000"
2019-06-28;122;P00000409;15;4;25.2;C;30;56;"2022-11-02 00:00:00.000000"
