PROD_CAT_NR;PROD_CAT_NAME;PROD_CAT_SHORT_NAME;MNGR_EMP_NR;SOURCING_PROD_GROUP_NR;SALE_PROD_GROUP_NR;EXTRACT_DATE
106;"Stationery & Gift Wrapping Supplies";"Cat. 106";63;10;10;"2022-11-18 00:00:00.000000"
91;"Puppets & Puppet Theaters";"Cat. 91";86;24;24;"2022-11-07 00:00:00.000000"
3;"Arts & Crafts";"Cat. 3";74;24;24;"2022-11-07 00:00:00.000000"
111;"Tools & Accessories";"Cat. 111";53;4;4;"2022-11-07 00:00:00.000000"
96;"School Accessories";"Cat. 96";71;8;8;"2022-11-07 00:00:00.000000"
61;"Microphones & Accessories";"Cat. 61";35;7;15;"2022-11-07 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-20 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";14;24;24;"2022-11-13 00:00:00.000000"
94;"Remote & App Controlled Vehicles & Parts";"Cat. 94";24;11;11;"2022-11-08 00:00:00.000000"
19;Dogs;"Cat. 19";24;18;18;"2022-11-08 00:00:00.000000"
19;Dogs;"Cat. 19";24;18;18;"2022-11-16 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";14;24;24;"2022-11-19 00:00:00.000000"
19;Dogs;"Cat. 19";24;18;18;"2022-11-12 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";104;13;13;"2022-11-12 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";96;24;24;"2022-11-25 00:00:00.000000"
61;"Microphones & Accessories";"Cat. 61";76;7;15;"2022-11-20 00:00:00.000000"
93;"Remote & App Controlled Vehicle Parts";"Cat. 93";89;20;20;"2022-11-10 00:00:00.000000"
56;"Lighting & Ceiling Fans";"Cat. 56";90;23;23;"2022-11-10 00:00:00.000000"
105;"Sports & Outdoor Play";"Cat. 105";14;24;24;"2022-11-09 00:00:00.000000"
90;"Professional Medical Supplies";"Cat. 90";4;13;13;"2022-11-09 00:00:00.000000"
80;"Pet Supplies";"Cat. 80";90;8;8;"2022-11-15 00:00:00.000000"
111;"Tools & Accessories";"Cat. 111";94;4;4;"2022-11-22 00:00:00.000000"
104;"Sports & Fitness";"Cat. 104";93;22;22;"2022-11-07 00:00:00.000000"
115;"Wall Art";"Cat. 115";95;12;12;"2022-11-07 00:00:00.000000"
67;"Office & School Supplies";"Cat. 67";106;16;16;"2022-11-17 00:00:00.000000"
65;"Novelty & More";"Cat. 65";22;6;6;"2022-11-12 00:00:00.000000"
49;"Kids' Electronics";"Cat. 49";109;24;24;"2022-11-20 00:00:00.000000"
19;Dogs;"Cat. 19";24;18;18;"2022-11-24 00:00:00.000000"
3;"Arts & Crafts";"Cat. 3";16;24;24;"2022-11-19 00:00:00.000000"
