PROD_GROUP_NR;PROD_GROUP_NAME;PROD_GROUP_SHORT_NAME;VAT_PCT;MNGR_EMP_NR;EXTRACT_DATE
10;"Health & Household";PG10;7;61;"2022-11-03 00:00:00.000000"
11;Hobbies;PG11;19;84;"2022-11-07 00:00:00.000000"
24;"Toys & Games";PG24;19;4;"2022-11-03 00:00:00.000000"
2;Automotive;PG2;19;27;"2022-11-03 00:00:00.000000"
8;"Gifts & Collectibles";PG8;19;47;"2022-11-03 00:00:00.000000"
8;"Gifts & Collectibles";PG8;19;18;"2022-11-05 00:00:00.000000"
25;"Video Games";PG25;19;67;"2022-11-06 00:00:00.000000"
20;"Remote & App Controlled Vehicles & Parts";PG20;19;44;"2022-11-03 00:00:00.000000"
26;;PG26;19;95;"2022-11-03 00:00:00.000000"
8;"Gifts & Collectibles";PG8;19;18;"2022-11-07 00:00:00.000000"
16;"Office Products";PG16;19;24;"2022-11-03 00:00:00.000000"
1;"Arts, Crafts & Sewing";PG1;7;21;"2022-11-03 00:00:00.000000"
22;"Sports & Outdoors";PG22;19;75;"2022-11-03 00:00:00.000000"
8;"Gifts & Collectibles";PG8;19;18;"2022-11-04 00:00:00.000000"
17;"Patio, Lawn & Garden";PG17;19;69;"2022-11-03 00:00:00.000000"
8;"Gifts & Collectibles";PG8;19;18;"2022-11-03 00:00:00.000000"
7;Electronics;PG7;19;13;"2022-11-03 00:00:00.000000"
6;"Clothing, Shoes & Jewelry";PG6;19;7;"2022-11-03 00:00:00.000000"
24;"Toys & Games";PG24;19;33;"2022-11-04 00:00:00.000000"
4;"Beauty & Personal Care";PG4;19;92;"2022-11-03 00:00:00.000000"
13;"Industrial & Scientific";PG13;19;89;"2022-11-03 00:00:00.000000"
15;"Musical Instruments";PG15;19;78;"2022-11-03 00:00:00.000000"
18;"Pet Supplies";PG18;19;64;"2022-11-03 00:00:00.000000"
21;"School Supplies";PG21;7;41;"2022-11-03 00:00:00.000000"
25;"Video Games";PG25;19;38;"2022-11-03 00:00:00.000000"
11;Hobbies;PG11;19;55;"2022-11-03 00:00:00.000000"
9;"Grocery & Gourmet Food";PG9;7;81;"2022-11-03 00:00:00.000000"
8;"Gifts & Collectibles";PG8;19;18;"2022-11-06 00:00:00.000000"
18;"Pet Supplies";PG18;19;35;"2022-11-03 00:00:00.000000"
23;"Tools & Home Improvement";PG23;19;16;"2022-11-03 00:00:00.000000"
3;"Baby Products";PG3;19;72;"2022-11-03 00:00:00.000000"
19;"Remote & App Controlled Vehicle Parts";PG19;19;10;"2022-11-03 00:00:00.000000"
14;"Movies & TV";PG14;19;30;"2022-11-03 00:00:00.000000"
23;"Tools & Home Improvement";PG23;19;86;"2022-11-03 00:00:00.000000"
1;"Arts, Crafts & Sewing";PG1;19;50;"2022-11-05 00:00:00.000000"
9;"Grocery & Gourmet Food";PG9;19;52;"2022-11-03 00:00:00.000000"
12;"Home & Kitchen";PG12;19;58;"2022-11-03 00:00:00.000000"
17;"Patio, Lawn & Garden";PG17;19;98;"2022-11-03 00:00:00.000000"
