PRODUCT_NR;PRODUCT_NAME;NET_PRICE;PROD_CLASS_CODE;SOURCING_PROD_CAT_NR;SALE_PROD_CAT_NR;EXTRACT_DATE
P00000413;"Trends International DC Comics - Justice League - The New 52 Wall Poster, 14.725"" x 22.375"", Barnwood Framed Version";39.92;PC1;113;113;"2022-11-07 00:00:00.000000"
P00000414;"Trends International Gears 5 - Alex Ross Wall Poster, 14.725"" x 22.375"", Multi";39.92;PC8;3;3;"2022-11-05 00:00:00.000000"
P00000414;"Trends International Gears 5 - Alex Ross Wall Poster, 14.725"" x 22.375"", Multi";39.92;PC8;3;3;"2022-11-04 00:00:00.000000"
P00000414;"Trends International Gears 5 - Alex Ross Wall Poster, 14.725"" x 22.375"", Multi";39.92;PC8;3;3;"2022-11-06 00:00:00.000000"
P00000415;"Airfield Concrete Tarmac Section 1/72";19.99;PC5;41;41;"2022-11-06 00:00:00.000000"
P00000414;"Trends International Gears 5 - Alex Ross Wall Poster, 14.725"" x 22.375"", Multi";39.92;PC8;3;3;"2022-11-07 00:00:00.000000"
P00000416;"MightySkins Skin Compatible with Swagtron T580 - Pollinate | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA";19.99;PC2;72;72;"2022-11-03 00:00:00.000000"
P00000417;"Funko Pop! Games: Mortal Kombat - Liu Kang";10.99;PC9;;118;"2022-11-05 00:00:00.000000"
P00000416;"MightySkins Skin Compatible with Swagtron T580 - Pollinate | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA";19.99;PC2;72;72;"2022-11-04 00:00:00.000000"
P00000419;"KEET Roundy Rocking Kid's Chair Gingham, Lavender";52.67;PC3;32;32;"2022-11-04 00:00:00.000000"
P00000421;"Artool Freehand Airbrush Templates, Mini FX4 Series Set";32.17;PC7;3;3;"2022-11-03 00:00:00.000000"
P00000419;"KEET Roundy Rocking Kid's Chair Gingham, Lavender";52.67;PC3;32;32;"2022-11-05 00:00:00.000000"
P00000422;"Safescan ScanSafe Concierge Card Case with RFID Protection, Teal, One Size";8.32;PC5;64;64;"2022-11-06 00:00:00.000000"
P00000424;"Playgro Bright Baby Duckies for Baby Infant Toddler, Playgro is Encouraging Imagination with STEM/STEM for a Bright Future - Great Start for a World of Learning";3.82;PC8;5;5;"2022-11-04 00:00:00.000000"
P00000423;"Deny Designs Holly Sharpe Tropical Girl Duvet Cover, Queen";159.08;PC1;8;8;"2022-11-07 00:00:00.000000"
P00000424;"Playgro Bright Baby Duckies for Baby Infant Toddler, Playgro is Encouraging Imagination with STEM/STEM for a Bright Future - Great Start for a World of Learning";3.82;PC8;5;5;"2022-11-05 00:00:00.000000"
P00000424;"Playgro Bright Baby Duckies for Baby Infant Toddler, Playgro is Encouraging Imagination with STEM/STEM for a Bright Future - Great Start for a World of Learning";3.82;PC8;5;5;"2022-11-06 00:00:00.000000"
P00000424;"Playgro Bright Baby Duckies for Baby Infant Toddler, Playgro is Encouraging Imagination with STEM/STEM for a Bright Future - Great Start for a World of Learning";3.82;PC8;5;5;"2022-11-07 00:00:00.000000"
